PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
818980,1251,GROCERY,National,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,15.75 OZ
818981,194,GROCERY,National,COLD CEREAL,ALL FAMILY CEREAL,10.4 OZ
818994,1054,DRUG GM,National,HAIR CARE ACCESSORIES,BOBBY PINS AND ACCESSORIES, 
818996,794,GROCERY,National,CONVENIENT BRKFST/WHLSM SNACKS,TREATS,6.2 OZ
819048,1490,GROCERY,National,LIQUOR,COCKTAIL MIXES-FLUID:ADD LIQ,LITER
819059,1849,GROCERY,National,PET CARE SUPPLIES,DOG & CAT CHEMICALS,18 OZ
819063,754,GROCERY,National,PASTA SAUCE,MAINSTREAM,26 OZ
819089,1441,DELI,National,PREPARED FOOD,PREP FD: PORTION PACKS,1.5 OZ
819112,1251,GROCERY,National,CANNED JUICES,TOMATO JUICE (OVER 50% JCE),46 OZ
819115,436,GROCERY,National,FRZN JCE CONC/DRNKS,FRZN OJ&OJ SUBSTITUTES (OVER 5,12 OZ
819210,177,DRUG GM,National,BABY FOODS,BABY FOOD JUNIOR ALL BRANDS,1.48 OZ
819212,1527,GROCERY,National,DRY NOODLES/PASTA,MACARONI DRY,1 LB
819227,1225,GROCERY,National,CAT FOOD,CAN CATFD GOURMET/SUP PREM (GR,3 OZ
819255,1007,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1 LB
819266,1046,GROCERY,National,DRY MIX DESSERTS,MISC: CHEESECAKE MOUSSE MIXES,12.3 OZ
819302,163,DRUG GM,National,HOME FREEZING & CANNING SUPPLY,CANNING JARSLIDSUTENSILSMIS, 
819304,754,GROCERY,National,PASTA SAUCE,MAINSTREAM,26 OZ
819308,2879,MEAT,National,BEEF,CHOICE BEEF, 
819326,874,GROCERY,National,PASTA SAUCE,PREMIUM,26 OZ
819330,69,GROCERY,Private,CONVENIENT BRKFST/WHLSM SNACKS,GRANOLA BARS,10 OZ
819367,1480,GROCERY,National,BLEACH,ALL FABRIC LIQUID BLEACH,8 OZ
819395,4925,DRUG GM,National,VITAMINS,VITAMIN - MULTIPLE COMBIN, 
819400,584,GROCERY,National,DOG FOODS,DOG TREATS (SOFT TREATS),5.6 OZ
819401,764,DRUG GM,National,HAIR CARE PRODUCTS,DANDRUFF-MEDICATED SHAMPOOS,13.5 OZ
819487,194,GROCERY,National,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,8.5 OZ
819502,177,DRUG GM,National,INFANT CARE PRODUCTS,FEEDING ACCESSORIES BOTTLES, 
819518,612,GROCERY,National,FRUIT - SHELF STABLE,CRANBERRY SAUCE,16 OZ
819534,2281,GROCERY,National,CAT FOOD,DRY CAT FOOD (CAT CHOW/FRISKIE,3.5 LB
819549,69,DRUG GM,Private,ANTACIDS,ANTI-ACIDS, 
